grantee,table_schema,table_name,privilege_type
anon,public,categories,DELETE
anon,public,categories,INSERT
anon,public,categories,REFERENCES
anon,public,categories,SELECT
anon,public,categories,TRIGGER
anon,public,categories,TRUNCATE
anon,public,categories,UPDATE
anon,public,customers,DELETE
anon,public,customers,INSERT
anon,public,customers,REFERENCES
anon,public,customers,SELECT
anon,public,customers,TRIGGER
anon,public,customers,TRUNCATE
anon,public,customers,UPDATE
anon,public,draft_stores,DELETE
anon,public,draft_stores,INSERT
anon,public,draft_stores,REFERENCES
anon,public,draft_stores,SELECT
anon,public,draft_stores,TRIGGER
anon,public,draft_stores,TRUNCATE
anon,public,draft_stores,UPDATE
anon,public,invoices,DELETE
anon,public,invoices,INSERT
anon,public,invoices,REFERENCES
anon,public,invoices,SELECT
anon,public,invoices,TRIGGER
anon,public,invoices,TRUNCATE
anon,public,invoices,UPDATE
anon,public,order_items,DELETE
anon,public,order_items,INSERT
anon,public,order_items,REFERENCES
anon,public,order_items,SELECT
anon,public,order_items,TRIGGER
anon,public,order_items,TRUNCATE
anon,public,order_items,UPDATE
anon,public,orders,DELETE
anon,public,orders,INSERT
anon,public,orders,REFERENCES
anon,public,orders,SELECT
anon,public,orders,TRIGGER
anon,public,orders,TRUNCATE
anon,public,orders,UPDATE
anon,public,payment_history,DELETE
anon,public,payment_history,INSERT
anon,public,payment_history,REFERENCES
anon,public,payment_history,SELECT
anon,public,payment_history,TRIGGER
anon,public,payment_history,TRUNCATE
anon,public,payment_history,UPDATE
anon,public,plans,DELETE
anon,public,plans,INSERT
anon,public,plans,REFERENCES
anon,public,plans,SELECT
anon,public,plans,TRIGGER
anon,public,plans,TRUNCATE
anon,public,plans,UPDATE
anon,public,products,DELETE
anon,public,products,INSERT
anon,public,products,REFERENCES
anon,public,products,SELECT
anon,public,products,TRIGGER
anon,public,products,TRUNCATE
anon,public,products,UPDATE
anon,public,slug_reservations,DELETE
anon,public,slug_reservations,INSERT
anon,public,slug_reservations,REFERENCES
anon,public,slug_reservations,SELECT
anon,public,slug_reservations,TRIGGER
anon,public,slug_reservations,TRUNCATE
anon,public,slug_reservations,UPDATE
anon,public,store_users,DELETE
anon,public,store_users,INSERT
anon,public,store_users,REFERENCES
anon,public,store_users,SELECT
anon,public,store_users,TRIGGER
anon,public,store_users,TRUNCATE
anon,public,store_users,UPDATE
anon,public,stores,DELETE
anon,public,stores,INSERT
anon,public,stores,REFERENCES
anon,public,stores,SELECT
anon,public,stores,TRIGGER
anon,public,stores,TRUNCATE
anon,public,stores,UPDATE
anon,public,tenant_subscriptions,DELETE
anon,public,tenant_subscriptions,INSERT
anon,public,tenant_subscriptions,REFERENCES
anon,public,tenant_subscriptions,SELECT
anon,public,tenant_subscriptions,TRIGGER
anon,public,tenant_subscriptions,TRUNCATE
anon,public,tenant_subscriptions,UPDATE
anon,public,tenants,DELETE
anon,public,tenants,INSERT
anon,public,tenants,REFERENCES
anon,public,tenants,SELECT
anon,public,tenants,TRIGGER
anon,public,tenants,TRUNCATE
anon,public,tenants,UPDATE
anon,public,users,DELETE
anon,public,users,INSERT
anon,public,users,REFERENCES
anon,public,users,SELECT
anon,public,users,TRIGGER
anon,public,users,TRUNCATE
anon,public,users,UPDATE
authenticated,public,categories,DELETE
authenticated,public,categories,INSERT
authenticated,public,categories,REFERENCES
authenticated,public,categories,SELECT
authenticated,public,categories,TRIGGER
authenticated,public,categories,TRUNCATE
authenticated,public,categories,UPDATE
authenticated,public,customers,DELETE
authenticated,public,customers,INSERT
authenticated,public,customers,REFERENCES
authenticated,public,customers,SELECT
authenticated,public,customers,TRIGGER
authenticated,public,customers,TRUNCATE
authenticated,public,customers,UPDATE
authenticated,public,draft_stores,DELETE
authenticated,public,draft_stores,INSERT
authenticated,public,draft_stores,REFERENCES
authenticated,public,draft_stores,SELECT
authenticated,public,draft_stores,TRIGGER
authenticated,public,draft_stores,TRUNCATE
authenticated,public,draft_stores,UPDATE
authenticated,public,invoices,DELETE
authenticated,public,invoices,INSERT
authenticated,public,invoices,REFERENCES
authenticated,public,invoices,SELECT
authenticated,public,invoices,TRIGGER
authenticated,public,invoices,TRUNCATE
authenticated,public,invoices,UPDATE
authenticated,public,order_items,DELETE
authenticated,public,order_items,INSERT
authenticated,public,order_items,REFERENCES
authenticated,public,order_items,SELECT
authenticated,public,order_items,TRIGGER
authenticated,public,order_items,TRUNCATE
authenticated,public,order_items,UPDATE
authenticated,public,orders,DELETE
authenticated,public,orders,INSERT
authenticated,public,orders,REFERENCES
authenticated,public,orders,SELECT
authenticated,public,orders,TRIGGER
authenticated,public,orders,TRUNCATE
authenticated,public,orders,UPDATE
authenticated,public,payment_history,DELETE
authenticated,public,payment_history,INSERT
authenticated,public,payment_history,REFERENCES
authenticated,public,payment_history,SELECT
authenticated,public,payment_history,TRIGGER
authenticated,public,payment_history,TRUNCATE
authenticated,public,payment_history,UPDATE
authenticated,public,plans,DELETE
authenticated,public,plans,INSERT
authenticated,public,plans,REFERENCES
authenticated,public,plans,SELECT
authenticated,public,plans,TRIGGER
authenticated,public,plans,TRUNCATE
authenticated,public,plans,UPDATE
authenticated,public,products,DELETE
authenticated,public,products,INSERT
authenticated,public,products,REFERENCES
authenticated,public,products,SELECT
authenticated,public,products,TRIGGER
authenticated,public,products,TRUNCATE
authenticated,public,products,UPDATE
authenticated,public,slug_reservations,DELETE
authenticated,public,slug_reservations,INSERT
authenticated,public,slug_reservations,REFERENCES
authenticated,public,slug_reservations,SELECT
authenticated,public,slug_reservations,TRIGGER
authenticated,public,slug_reservations,TRUNCATE
authenticated,public,slug_reservations,UPDATE
authenticated,public,store_users,DELETE
authenticated,public,store_users,INSERT
authenticated,public,store_users,REFERENCES
authenticated,public,store_users,SELECT
authenticated,public,store_users,TRIGGER
authenticated,public,store_users,TRUNCATE
authenticated,public,store_users,UPDATE
authenticated,public,stores,DELETE
authenticated,public,stores,INSERT
authenticated,public,stores,REFERENCES
authenticated,public,stores,SELECT
authenticated,public,stores,TRIGGER
authenticated,public,stores,TRUNCATE
authenticated,public,stores,UPDATE
authenticated,public,tenant_subscriptions,DELETE
authenticated,public,tenant_subscriptions,INSERT
authenticated,public,tenant_subscriptions,REFERENCES
authenticated,public,tenant_subscriptions,SELECT
authenticated,public,tenant_subscriptions,TRIGGER
authenticated,public,tenant_subscriptions,TRUNCATE
authenticated,public,tenant_subscriptions,UPDATE
authenticated,public,tenants,DELETE
authenticated,public,tenants,INSERT
authenticated,public,tenants,REFERENCES
authenticated,public,tenants,SELECT
authenticated,public,tenants,TRIGGER
authenticated,public,tenants,TRUNCATE
authenticated,public,tenants,UPDATE
authenticated,public,users,DELETE
authenticated,public,users,INSERT
authenticated,public,users,REFERENCES
authenticated,public,users,SELECT
authenticated,public,users,TRIGGER
authenticated,public,users,TRUNCATE
authenticated,public,users,UPDATE
service_role,public,categories,DELETE
service_role,public,categories,INSERT
service_role,public,categories,REFERENCES
service_role,public,categories,SELECT
service_role,public,categories,TRIGGER
service_role,public,categories,TRUNCATE
service_role,public,categories,UPDATE
service_role,public,customers,DELETE
service_role,public,customers,INSERT
service_role,public,customers,REFERENCES
service_role,public,customers,SELECT
service_role,public,customers,TRIGGER
service_role,public,customers,TRUNCATE
service_role,public,customers,UPDATE
service_role,public,draft_stores,DELETE
service_role,public,draft_stores,INSERT
service_role,public,draft_stores,REFERENCES
service_role,public,draft_stores,SELECT
service_role,public,draft_stores,TRIGGER
service_role,public,draft_stores,TRUNCATE
service_role,public,draft_stores,UPDATE
service_role,public,invoices,DELETE
service_role,public,invoices,INSERT
service_role,public,invoices,REFERENCES
service_role,public,invoices,SELECT
service_role,public,invoices,TRIGGER
service_role,public,invoices,TRUNCATE
service_role,public,invoices,UPDATE
service_role,public,order_items,DELETE
service_role,public,order_items,INSERT
service_role,public,order_items,REFERENCES
service_role,public,order_items,SELECT
service_role,public,order_items,TRIGGER
service_role,public,order_items,TRUNCATE
service_role,public,order_items,UPDATE
service_role,public,orders,DELETE
service_role,public,orders,INSERT
service_role,public,orders,REFERENCES
service_role,public,orders,SELECT
service_role,public,orders,TRIGGER
service_role,public,orders,TRUNCATE
service_role,public,orders,UPDATE
service_role,public,payment_history,DELETE
service_role,public,payment_history,INSERT
service_role,public,payment_history,REFERENCES
service_role,public,payment_history,SELECT
service_role,public,payment_history,TRIGGER
service_role,public,payment_history,TRUNCATE
service_role,public,payment_history,UPDATE
service_role,public,plans,DELETE
service_role,public,plans,INSERT
service_role,public,plans,REFERENCES
service_role,public,plans,SELECT
service_role,public,plans,TRIGGER
service_role,public,plans,TRUNCATE
service_role,public,plans,UPDATE
service_role,public,products,DELETE
service_role,public,products,INSERT
service_role,public,products,REFERENCES
service_role,public,products,SELECT
service_role,public,products,TRIGGER
service_role,public,products,TRUNCATE
service_role,public,products,UPDATE
service_role,public,slug_reservations,DELETE
service_role,public,slug_reservations,INSERT
service_role,public,slug_reservations,REFERENCES
service_role,public,slug_reservations,SELECT
service_role,public,slug_reservations,TRIGGER
service_role,public,slug_reservations,TRUNCATE
service_role,public,slug_reservations,UPDATE
service_role,public,store_users,DELETE
service_role,public,store_users,INSERT
service_role,public,store_users,REFERENCES
service_role,public,store_users,SELECT
service_role,public,store_users,TRIGGER
service_role,public,store_users,TRUNCATE
service_role,public,store_users,UPDATE
service_role,public,stores,DELETE
service_role,public,stores,INSERT
service_role,public,stores,REFERENCES
service_role,public,stores,SELECT
service_role,public,stores,TRIGGER
service_role,public,stores,TRUNCATE
service_role,public,stores,UPDATE
service_role,public,tenant_subscriptions,DELETE
service_role,public,tenant_subscriptions,INSERT
service_role,public,tenant_subscriptions,REFERENCES
service_role,public,tenant_subscriptions,SELECT
service_role,public,tenant_subscriptions,TRIGGER
service_role,public,tenant_subscriptions,TRUNCATE
service_role,public,tenant_subscriptions,UPDATE
service_role,public,tenants,DELETE
service_role,public,tenants,INSERT
service_role,public,tenants,REFERENCES
service_role,public,tenants,SELECT
service_role,public,tenants,TRIGGER
service_role,public,tenants,TRUNCATE
service_role,public,tenants,UPDATE
service_role,public,users,DELETE
service_role,public,users,INSERT
service_role,public,users,REFERENCES
service_role,public,users,SELECT
service_role,public,users,TRIGGER
service_role,public,users,TRUNCATE
service_role,public,users,UPDATE
